Tool,CentC arrays (of 17),Total CentC bp (out of),centromere coverage (%),CentC Norm Frag Score,CentC Mean Offset Error (bp),Runtime (s),Memory (GB)
trf,17,119529560 / 12562249,58.54,0.01,69.62,19736.0,1.2
ultra,0,0 / 12562249,0.0,0.0,0.0,46284.0,3.38
bwtandem,17,29851377 / 12562249,48.51,0.01,4837.53,15358.0,45.53
tantan,17,55842884 / 12562249,1.27,0.0,9243.5,2110.63,0.5
ncrf,0,2604968 / 12562249,0.0,0.0,0.0,1.83,0.29
trash_denovo,17,47527478 / 12562249,58.33,0.05,5318.71,351900.0,42.83
trash_template,17,47527478 / 12562249,58.33,0.05,5318.71,351900.0,42.83
